,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
67,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
11,1.0,1.0,,1.0,,,,,,1.0,1.0,,,1.0,3.0,1.0,,,1.0,,,1.0,,,,,,,
37,4.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,5.0,1.0,,5.0,3.0,2.0,1.0,1.0,,4.0,6.0,,1.0,,,,,,
152,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,
18,3.0,,,,,,,,2.0,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,
130,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,2.0,,,,,,,
29,1.0,,,2.0,,,,,,,8.0,,3.0,,6.0,,,1.0,,,3.0,4.0,,,,,,,
64,1.0,,,2.0,,,,,,1.0,,2.0,,3.0,1.0,1.0,,1.0,1.0,,2.0,8.0,,,,,,,
140,2.0,,,6.0,,1.0,,,3.0,,7.0,,2.0,,,,,1.0,,1.0,3.0,4.0,5.0,,,,,,
153,1.0,,,,,,,,1.0,,,,,2.0,3.0,,,1.0,,2.0,4.0,,1.0,,,,,,
61,1.0,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,1.0,,,,,
31,1.0,,6.0,,,,,1.0,1.0,2.0,3.0,,1.0,1.0,,,,,,7.0,9.0,,4.0,,,,,,
94,1.0,,,,,1.0,,,,,2.0,1.0,2.0,,,,,,,,4.0,3.0,1.0,1.0,,,,,
137,,2.0,,1.0,,,1.0,,,,1.0,,3.0,1.0,,,,,1.0,,,4.0,,1.0,,,,,
34,,1.0,3.0,,1.0,,,,4.0,1.0,2.0,2.0,,2.0,3.0,1.0,,,,6.0,9.0,,4.0,,,,,,
190,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
141,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
206,,,2.0,,,1.0,,1.0,,,1.0,,1.0,10.0,12.0,1.0,,,,4.0,8.0,,5.0,1.0,,,,,
203,,,1.0,,1.0,2.0,,,,1.0,,,,1.0,2.0,1.0,,,,1.0,9.0,4.0,1.0,,,,,,
109,,,2.0,1.0,1.0,1.0,,,,,2.0,,,,,1.0,,,,2.0,1.0,,,,,,,,
104,,,1.0,,,1.0,,,,,3.0,,,1.0,,,,,,1.0,3.0,1.0,,,,,,,
205,,,1.0,,,,,,,,1.0,,1.0,3.0,1.0,,,,,4.0,3.0,1.0,1.0,,,,,,
149,,,1.0,,,1.0,,,,,,1.0,2.0,,,,,,1.0,,,2.0,,1.0,,,,,
36,,,1.0,,,,,,2.0,1.0,2.0,3.0,,2.0,1.0,,,,,1.0,3.0,1.0,3.0,,,,,,
75,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,
111,,,,1.0,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,
187,,,,13.0,,,,,1.0,,2.0,19.0,38.0,36.0,28.0,,,,5.0,2.0,3.0,,1.0,13.0,,,,,
186,,,,12.0,,,,,1.0,,1.0,16.0,28.0,26.0,20.0,,,,5.0,,2.0,,,7.0,,,,,
221,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,3.0,,,,,,,1.0,4.0,20.0,25.0,20.0,,,,1.0,1.0,2.0,,1.0,11.0,,,,,
123,,,,1.0,,,,,,,,,1.0,2.0,3.0,,,,1.0,4.0,6.0,,,,,,,,
150,,,,1.0,,,,,,,1.0,1.0,11.0,11.0,12.0,,,,,4.0,2.0,,1.0,,,,,,
91,,,,2.0,,2.0,,,,,,2.0,1.0,,,,,,,,2.0,5.0,,,,,,,
107,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,4.0,,,,,,,
220,,,,1.0,,,,,,,1.0,,2.0,,4.0,,,1.0,1.0,4.0,5.0,,,,,,,,
60,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
139,,,,1.0,,1.0,,,,,4.0,3.0,,2.0,,,,,1.0,2.0,4.0,1.0,3.0,,,,,,
