,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
76,48.0,,14.0,4.0,1.0,15.0,,3.0,,7.0,7.0,4.0,197.0,36.0,311.0,2.0,2.0,17.0,85.0,13.0,28.0,9.0,4.0,13.0,,,,,
132,23.0,,,2.0,,,,1.0,1.0,,5.0,2.0,11.0,10.0,23.0,,4.0,5.0,9.0,9.0,37.0,,4.0,1.0,,,,,
57,77.0,5.0,13.0,41.0,2.0,31.0,,8.0,7.0,4.0,66.0,16.0,30.0,36.0,49.0,10.0,15.0,32.0,42.0,14.0,109.0,42.0,17.0,1.0,,,1.0,,
102,20.0,,,,,,,2.0,1.0,,4.0,3.0,9.0,11.0,15.0,,4.0,5.0,11.0,9.0,39.0,2.0,5.0,2.0,,,,,
83,38.0,4.0,8.0,4.0,4.0,6.0,1.0,6.0,3.0,1.0,16.0,4.0,15.0,26.0,27.0,2.0,4.0,2.0,12.0,24.0,59.0,4.0,8.0,,,,,,
216,4.0,,,,,1.0,,1.0,,,2.0,,,2.0,1.0,1.0,,1.0,,4.0,5.0,2.0,1.0,,,,,,
153,3.0,,,,,,,,1.0,,,,,1.0,,,2.0,1.0,1.0,6.0,7.0,,2.0,,,,,,
118,33.0,6.0,5.0,36.0,3.0,13.0,,3.0,3.0,18.0,33.0,12.0,12.0,28.0,31.0,8.0,6.0,33.0,19.0,5.0,23.0,55.0,6.0,3.0,,,,,
211,1.0,,,,1.0,,,,,,,1.0,1.0,3.0,3.0,,,,,2.0,2.0,,1.0,,,,,,
51,12.0,1.0,,1.0,,2.0,,,2.0,,,1.0,1.0,3.0,3.0,,1.0,,,5.0,15.0,3.0,4.0,,,,,,
37,12.0,2.0,4.0,2.0,,3.0,,1.0,3.0,1.0,6.0,2.0,1.0,5.0,5.0,3.0,2.0,2.0,,3.0,11.0,,1.0,,,,,,
58,20.0,1.0,2.0,,,3.0,,1.0,6.0,,4.0,,4.0,10.0,17.0,2.0,2.0,5.0,3.0,15.0,30.0,1.0,4.0,2.0,,,,,
88,3.0,,1.0,1.0,,,,,1.0,,2.0,1.0,1.0,1.0,2.0,,,2.0,,,3.0,2.0,1.0,,,,,,
24,8.0,1.0,,11.0,4.0,15.0,,1.0,3.0,3.0,12.0,3.0,7.0,3.0,4.0,1.0,2.0,,3.0,1.0,2.0,5.0,6.0,1.0,,,,,
63,4.0,,,,,,,,1.0,1.0,,2.0,,,,,,,,,2.0,3.0,1.0,,,,,,
41,9.0,,1.0,2.0,,2.0,,1.0,,,7.0,1.0,3.0,8.0,5.0,1.0,2.0,1.0,3.0,4.0,10.0,1.0,1.0,2.0,,,,,
